[pushover_reminder_service] Parsed 6 event(s), matched window 1 time(s), sent 1 reminder(s).
[pushover_reminder_service] Parsed 7 event(s), matched window 1 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 7 event(s), matched window 1 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 1 time(s), sent 1 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 1 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 1 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
[pushover_reminder_service] Parsed 8 event(s), matched window 0 time(s), sent 0 reminder(s).
